"address","categories/0","categories/1","categories/2","categories/3","categoryName","city","countryCode","isAdvertisement","location/lat","location/lng","neighborhood","placeId","postalCode","rank","reviewsCount","searchPageLoadedUrl","searchPageUrl","searchString","state","street","title","totalScore","url"
"R. 61, 21 - Quadra 125 - St. Central, Goiânia - GO, 74045-080, Brasil","Restaurante",,,,"Restaurante","Goiânia","BR","false","-16.6663943","-49.2590539","R. 61, 21 - Quadra 125","ChIJ99VLn9zzXpMRBSHllGJWDXU","74045-080","24","33","https://www.google.com/maps/search/restaurant/@-16.6593128,-49.2624762,15z/data=!4m2!2m1!6e5?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.65931277732615,-49.26247620000001,15z?hl=pt-BR","restaurant","Goiás","R. 61, 21 - Quadra 125","JB Restaurante","4.3","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJ99VLn9zzXpMRBSHllGJWDXU"
"Av. Independência, 3302 - Qd. 172 Lt 01E - St. Central, Goiânia - GO, 74005-045, Brasil","Restaurante",,,,"Restaurante","Goiânia","BR","false","-16.6618747","-49.2539795","Av. Independência, 3302 - Qd. 172 Lt 01E","ChIJiQGCglzzXpMRwsTSLshqb_Q","74005-045","25","42","https://www.google.com/maps/search/restaurant/@-16.6593128,-49.2624762,15z/data=!4m2!2m1!6e5?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.65931277732615,-49.26247620000001,15z?hl=pt-BR","restaurant","Goiás","Av. Independência, 3302 - Qd. 172 Lt 01E","Dom Goiano Restaurante - Mega Moda Park","4.4","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJiQGCglzzXpMRwsTSLshqb_Q"
"R. 16-A - St. Aeroporto, Goiânia - GO, 74075-150, Brasil","Restaurante",,,,"Restaurante","Goiânia","BR","false","-16.6741682","-49.2683901","R. 16-A","ChIJ2dOD4L3zXpMRJzkHjjnMRV4","74075-150","26","25","https://www.google.com/maps/search/restaurant/@-16.6593128,-49.2624762,15z/data=!4m2!2m1!6e5?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.65931277732615,-49.26247620000001,15z?hl=pt-BR","restaurant","Goiás","R. 16-A","CANGAÇO Restaurante e Lanchonete","4.8","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJ2dOD4L3zXpMRJzkHjjnMRV4"
"Av. Bernardo Sayão, 1418 - St. Mal. Rondon, Goiânia - GO, 74560-070, Brasil","Restaurante",,,,"Restaurante","Goiânia","BR","false","-16.6615999","-49.2756073","Av. Bernardo Sayão, 1418","ChIJMR4Jc2XzXpMRsgpyH6aJ-jY","74560-070","27","50","https://www.google.com/maps/search/restaurant/@-16.6593128,-49.2624762,15z/data=!4m2!2m1!6e5?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.65931277732615,-49.26247620000001,15z?hl=pt-BR","restaurant","Goiás","Av. Bernardo Sayão, 1418","Restaurante Da Soraya","4.6","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJMR4Jc2XzXpMRsgpyH6aJ-jY"
"R. 20, 1083 - Quadra 60 Lote 121 - St. Central, Goiânia - GO, 74020-170, Brasil","Restaurante brasileiro","Restaurante",,,"Restaurante brasileiro","Goiânia","BR","false","-16.6711336","-49.255724","R. 20, 1083 - Quadra 60 Lote 121","ChIJv1I5rtnzXpMR9c9JoTHaWIE","74020-170","28","58","https://www.google.com/maps/search/restaurant/@-16.6593128,-49.2624762,15z/data=!4m2!2m1!6e5?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.65931277732615,-49.26247620000001,15z?hl=pt-BR","restaurant","Goiás","R. 20, 1083 - Quadra 60 Lote 121","Restaurante Mãe e Filha","4.6","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJv1I5rtnzXpMR9c9JoTHaWIE"
"Mega Moda - Av. Contorno 165, entre as Ruas 67-B e 69 - Setor Norte Ferroviário, Goiânia - GO, 74063-320, Brasil","Lanchonete","Galeria de Arte",,,"Lanchonete","Goiânia","BR","false","-16.6603927","-49.2556751","Mega Moda - Av. Contorno 165, entre as Ruas 67-B e 69","ChIJH9Ys58XzXpMRHkwr38ImnP8","74063-320","29","46","https://www.google.com/maps/search/restaurant/@-16.6593128,-49.2624762,15z/data=!4m2!2m1!6e5?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.65931277732615,-49.26247620000001,15z?hl=pt-BR","restaurant","GO","Mega Moda - Av. Contorno 165, entre as Ruas 67-B e 69","Oliveira's Restaurante","4.4","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJH9Ys58XzXpMRHkwr38ImnP8"
"R. P-17, 295 - St. dos Funcionários, Goiânia - GO, 74543-310, Brasil","Restaurante","Restaurante self-service","Delivery especializado em pratos de frango","Delivery","Restaurante","Goiânia","BR","false","-16.6692266","-49.2788488","R. P-17, 295","ChIJYzmJs_DzXpMR0-uPgHRb-m4","74543-310","30","157","https://www.google.com/maps/search/restaurant/@-16.6593128,-49.2624762,15z/data=!4m2!2m1!6e5?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.65931277732615,-49.26247620000001,15z?hl=pt-BR","restaurant","Goiás","R. P-17, 295","Restaurante Tempero Bom St Aeroporto | tele entrega | ifood Goiânia | Restaurante goiania | tele entrega","4.4","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJYzmJs_DzXpMR0-uPgHRb-m4"
"R. 2 Q 17, 295 - Nova Vila, Goiânia - GO, 74653-060, Brasil","Restaurante self-service",,,,"Restaurante self-service","Goiânia","BR","false","-16.655937","-49.2527584","R. 2 Q 17, 295 - Nova Vila","ChIJc5bPiFHzXpMRlNooRFyx9N8","74653-060","31","68","https://www.google.com/maps/search/restaurant/@-16.6593128,-49.2624762,15z/data=!4m2!2m1!6e5?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.65931277732615,-49.26247620000001,15z?hl=pt-BR","restaurant","GO","R. 2 Q 17, 295 - Nova Vila","Restaurante Boa Mesa","3.9","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJc5bPiFHzXpMRlNooRFyx9N8"
"R. 59-A, 395 - St. Aeroporto, Goiânia - GO, 74070-160, Brasil","Restaurante self-service","Restaurante",,,"Restaurante self-service","Goiânia","BR","false","-16.6685195","-49.2661391","R. 59-A, 395","ChIJ-Qk-sufzXpMRH-EMQGGwsow","74070-160","32","37","https://www.google.com/maps/search/restaurant/@-16.6593128,-49.2624762,15z/data=!4m2!2m1!6e5?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.65931277732615,-49.26247620000001,15z?hl=pt-BR","restaurant","Goiás","R. 59-A, 395","Restaurante Da Tia Goiânia","4.5","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJ-Qk-sufzXpMRH-EMQGGwsow"
"R. 75, 535 - St. Central, Goiânia - GO, 74055-110, Brasil","Restaurante brasileiro",,,,"Restaurante brasileiro","Goiânia","BR","false","-16.6672851","-49.2579431","R. 75, 535","ChIJuY3AndvzXpMR533U_QwP7gs","74055-110","33","342","https://www.google.com/maps/search/restaurant/@-16.6593128,-49.2624762,15z/data=!4m2!2m1!6e5?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.65931277732615,-49.26247620000001,15z?hl=pt-BR","restaurant","Goiás","R. 75, 535","Restaurante Cheiro Verde","4.4","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJuY3AndvzXpMR533U_QwP7gs"
